infocode	gt_value_count	missing_value_count	missing_values
AN202602261820047853	12	4	[4127, 30614, 788, 35529]
AN202602261820054978	12	6	[326, 274, 86, 3464, 686, 2778]
AN202602261820055066	6	5	[14396, 4160, 2906, 2266, 17]
AN202602261820064399	8	6	[26112, 6794, -166, 102485, 27290, -696]
AN202602261820066919	6	4	[21450, 5319, 21450, 5319]
AN202602261820067278	6	6	[29214, 13495, 15719, 29214, 13495, 15719]
AN202602261820070200	6	4	[132550, 41264, 132550, 41264]
AN202602261820070247	13	13	[4748, 705, 1936, 1690, 734, 3616, 285, 1107, 246, 956, 2730, 805, 19558]
AN202602261820071002	12	8	[62301, 510, 30, 62331, 190520, 2974, 561, 191081]
AN202602261820071640	6	6	[31094, 9256, 21838, 31094, 9256, 21838]
AN202602261820072003	8	8	[42498, 16445, 8017, 4599, 3713, 641, 54228, 21685]
AN202602271820100486	6	6	[3899, 2619.2, 99.4, 748.2, 1025, 8390.8]
AN202602271820100616	7	4	[730, 515, 26, 34]
AN202602271820101294	6	3	[246, 78, 85]
AN202602271820101807	6	4	[31281, 21272, 31281, 21272]
AN202602271820103692	12	8	[15321735, 2510051, 1055115, 1938403, 23290, 12570, 16400140, 4461024]
AN202602271820105223	6	2	[35656, 35656]
AN202602271820105743	12	7	[727, 284613, 88310, 6754, 58856, 1648, 440181]
AN202602271820105926	6	4	[18357783, -786780, 18357783, -786780]
AN202602271820106866	6	2	[5707, 5707]
AN202602271820107049	4	4	[36334, 13546, 6138, 56018]
AN202602271820107497	5	4	[583, 16807, 23017, 614]
AN202602271820108309	3	3	[85477, 3, 85480]
AN202602271820108796	4	4	[17275, 1262, 3412, 21949]
AN202602271820109011	4	1	[889]
AN202602271820109070	6	4	[6858, 2, 2, 6861]
AN202602271820109149	3	2	[193, 41389]
AN202602271820109432	6	4	[5844, 23688, 5844, 23688]
AN202602271820110092	5	5	[5221, 72993, 5748, 268123, 352085]
AN202602271820110209	5	5	[18317, 76365, 443, 8904, 104029]
AN202602271820110660	4	4	[9005, 8, 3923, 12936]
AN202602271820110734	3	3	[42474, 14090, 56564]
AN202602271820110789	3	2	[471, 466811]
AN202602271820110838	5	3	[31572, 453, 635]
AN202602271820112543	4	3	[3117, 224, 13]
AN202602271820112752	5	4	[2957, 12164, 6720, 21869]
AN202602271820112793	6	1	[400]
AN202602271820112953	3	3	[7543, 2625, 10168]
AN202603011820160854	7	7	[139164, 17969, 10, 3, 150, 15628, 172924]
AN202603021820196960	18	18	[362966, 338496, 24470, 488805, 368522, 120283, 94207, 91987, 2220, 66296, 43986, 22310, 36043, 24774, 11269, 1048317, 867765, 180552]
AN202603031820229304	8	8	[4754.4, 511.7, 68.1, 365.6, 408.8, 101.5, 7.9, 6218]
AN202603041820264743	8	4	[12117818, 7645885, 1421398, 21185101]
AN202603051820293798	6	5	[918, 175, 116, 126, 10]
AN202603051820302384	5	2	[1839888, 39]
AN202603051820302534	9	3	[5098477, 997699, 4100778]
AN202603051820305635	10	8	[153267, 119720, 30616, 48681, 605131, 418671, 107131, 178152]
AN202603061820350863	8	8	[62857009, 32628100, 33816407, 33138500, 37222044, 27624700, 133895460, 93391300]
AN202603101820443403	12	8	[5191671, 3524547, 2193527, 1835700, 1973994, 1532509, 9359192, 6892756]
AN202603101820443458	6	1	[175]
AN202603101820461453	6	2	[4479, 346387]
AN202603101820462644	12	9	[25893175, 2683007, 28576182, 76883876, 65670810, 10603634, 9900995, 87487510, 75571805]
AN202603111820483806	4	4	[22855028, 9359078, 3570909, 35785015]
AN202603121820513698	9	3	[917, 856, 135]
AN202603121820513984	9	4	[526, 656, 965, 536]
AN202603121820520372	8	1	[347]
AN202603121820526849	4	4	[5942407839.6, 1400367621.26, 115076656.22, 7457852117.08]
AN202603121820527555	6	4	[165, 146, 165, 146]
AN202603131820548258	6	4	[264378, 247833, 264378, 247833]
AN202603131820548954	5	3	[1585521, 1961324, 6368752]
AN202603131820551483	5	1	[160835]
AN202603131820554185	4	1	[813]
AN202603131820555199	5	3	[51463, 155, 4279]
AN202603131820555495	3	3	[7536, 367180, 374716]
AN202603151820566061	17	6	[257288, 131110, 35002, 56836, -73914, 406322]
AN202603161820571772	6	6	[4069716, 2051920, 2017796, 4069716, 2051920, 2017796]
AN202603161820585273	6	6	[10468, 299, 4307, 3451, 2672, 21197]
AN202603161820585797	10	10	[912155, 428538, 201324, 94358, 163572, 84395, 50200, 22970, 1327251, 630261]
AN202603171820597329	12	6	[1971596, 2075446, 1997766, 1321368, 3969362, 3396814]
AN202603171820603165	5	3	[1886708, 150175, 1410]
AN202603181820616816	10	7	[174329, 26144, 98023, 8639, 4637, 2023, 41443]
AN202603181820621195	6	6	[1669017, 1253487, 415530, 1669017, 1253487, 415530]
AN202603181820621350	10	7	[8205, 29317, 28385, 26586, 10930, 10015, 74123]
AN202603181820621582	3	3	[6313421, 3745065, 10058486]
AN202603181820624091	15	5	[358297, 211018, 40035, 52464, 661814]
AN202603181820625625	8	8	[12943, 11696, 668, 25307, 3266, 3023, 236, 6525]
AN202603181820626109	8	3	[2070533, 2666365, 3455816]
AN202603181820626164	8	8	[2070533, 2066890, 2666365, 11637, 3455816, 2078527, 74804, 8267518]
AN202603181820627025	9	3	[590763, 62760, 653523]
AN202603181820627788	4	4	[4781, 14725, 31630, 51136]
AN202603181820628506	5	1	[803]
AN202603181820628612	4	4	[42315, 153, 5367, 47835]
AN202603191820633887	6	6	[21618, -465, 10124, 7884, -29, 39132]
AN202603191820645587	3	3	[13, 1806, 1819]
AN202603191820645609	5	1	[1508959]
AN202603191820645694	6	1	[778]
AN202603191820646679	7	7	[35873540, 1001044, 459008, 875224, -1132116, -646280, 36430420]
AN202603191820647907	7	2	[143001, 1074487]
AN202603191820648246	3	3	[1445476, 1297055, 148421]
AN202603191820648647	8	4	[3026438, 911794, 621337, 4559569]
AN202603191820649442	6	5	[7796166, 282813, 198088, 51305, 114353]
AN202603191820650300	4	3	[4336.8, 1160, 5518.5]
AN202603191820651281	4	4	[44255, 5258, 825, 50338]
AN202603191820651593	7	3	[193885, 57077, -63255]
AN202603191820651630	6	5	[3148.3, 171.8, 2109.5, -234, 5196.5]
AN202603191820653065	6	3	[11540, 783, 12323]
AN202603191820653115	3	2	[92237, 508]
AN202603191820653468	4	1	[80]
AN202603191820653491	5	5	[772813, 561876, 264080, 982625, 2581394]
AN202603201820657945	5	5	[1810.6, 870.7, 544.8, 271.6, 3497.6]
AN202603201820663506	6	6	[5076748, 314584, 898751, 138443, 5975499, 453027]
AN202603201820667606	7	7	[41534.7, 2202.8, 3685.4, 1603.5, 1645.9, 3654, 54326.3]
AN202603201820667938	3	1	[500]
AN202603201820669121	12	9	[59598391, 19072174, 16583754, 2648432, 3181585, 928199, 62246823, 22253759, 17511953]
AN202603201820669312	12	12	[68378920, 59598391, 19072174, 16583754, 8340822, 2648432, 3181585, 928199, 76719742, 62246823, 22253759, 17511953]
AN202603201820671610	5	5	[93552, 33505, 1176399, 957, 1304413]
AN202603201820673139	5	1	[641]
AN202603201820673185	3	3	[535708, 10594, 546302]
AN202603201820673571	7	1	[500]
AN202603201820674845	5	4	[212086, 31874, 28894, 4013]
AN202603201820675291	4	4	[4107052, 264690, 581581, 4953323]
AN202603201820675513	4	1	[92]
AN202603201820675766	3	1	[349]
AN202603201820675887	4	4	[133650, 125823, 149, 7678]
AN202603201820676046	8	8	[736561, 570120, 541357, 17395, 180558, 51817, 131997, 2229805]
AN202603201820676051	6	4	[9789, 25092, 9789, 25092]
AN202603201820676323	6	4	[180161, 91920, 180161, 91920]
AN202603201820676459	6	2	[89, 3484655]
AN202603201820676603	10	10	[5253944, 305928, 223982, 118678, 52350, 44467, 76146, 50460, 5606422, 519533]
AN202603201820676621	12	12	[6775580776.17, 3933930327.31, 2482045705.51, 1061323583.28, 9672174234.96, 5288135220.58, 56983479018.22, 53638279193.33, 1499262856.47, 1008151734.27, 77412542591.33, 64929820058.77]
AN202603201820676676	12	8	[123790, 21804, 64225, 15494, 149374, 89451, 337389, 126749]
AN202603201820677012	6	4	[146824, 54686, 14854, 2735]
AN202603221820687990	13	12	[763996, 555174, 353855, 38856, 184796, 123127, 209624, 103185, 42621, 351226, 55292, 1831]
AN202603231820694462	3	3	[36381069, 493366, 36874435]
AN202603231820703513	2	2	[13957301, 13957301]
AN202603231820705254	10	10	[211377, 163815, 126199, 102613, 60711, 198545, 313990, 224526, 359843, 684587]
AN202603231820705549	10	6	[211377, 163815, 102613, 60711, 313990, 224526]
AN202603231820705664	6	4	[3804922, 2139323, 3804922, 2139323]
AN202603231820706032	12	8	[90441, 27391, 48367, 18099, 18947, 637, 157755, 46127]
AN202603231820706256	6	6	[149188, 16991, 4288, 3641, 153476, 20632]
AN202603231820706686	5	5	[789710, 701127, 525, 7027, 81031]
AN202603231820707266	9	8	[18584744, 13283267, 5301477, 12427001, 8921797, 3505204, 22205064, 8806681]
AN202603231820707956	6	6	[3975238, 1096312, 1045639, 240841, 5020877, 1337153]
AN202603231820708396	6	6	[750637, 450525, 300112, 750637, 450525, 300112]
AN202603231820708421	6	6	[131509, 14452, 117057, 131509, 14452, 117057]
AN202603241820720677	6	6	[49475914, 1595219, 1620165, 3204285, 3475741, 59371324]
AN202603241820720685	4	1	[6019727]
AN202603241820720688	6	6	[336152, 140360, 195792, 336152, 140360, 195792]
AN202603241820720689	5	5	[3787264, 227180, 374762, 625915, 5015121]
AN202603241820720699	12	4	[4294771, 456172, 325210, 5076153]
AN202603241820721242	12	6	[2323248, 614000, 4719149, 78439, 1228877, 8963713]
AN202603241820721570	6	6	[204528, 125979, 147307, 7610, 44135, 529559]
AN202603241820722983	4	4	[3295591, 1306071, 866512, 5468174]
AN202603241820723128	3	3	[5900212, 15889806, 21790018]
AN202603241820723731	4	3	[20564600, 2141038, 3620304]
AN202603241820724591	5	5	[505087, 580410, 973640, 7166, 2066303]
AN202603241820726627	5	5	[2880, 3159, 57726, 5916, 69681]
AN202603241820727677	8	4	[103430, 12789, 481, 116700]
AN202603241820727972	5	2	[803557, 3667924]
AN202603241820728302	4	3	[10131741, 2980985, 82532051]
AN202603241820728343	14	7	[1178318525.29, 2031042171.1, 421455027.77, 78694252.67, 281038436.88, 24123309.77, 4014671723.48]
AN202603241820728957	7	7	[255924, 74519, 9451, 5224, -39260, 8895, 314753]
AN202603241820729158	6	3	[19135, 2791, 21926]
AN202603241820729268	6	6	[8267, 14858, 729, 9679, 32725, 66258]
AN202603241820729428	18	8	[882006, 297499, 317537, 188386, 150379, 40228, 131599, 2008818]
AN202603241820729603	6	6	[64105, 52049, 12056, 64105, 52049, 12056]
AN202603241820729830	6	4	[278202, 117538, 278202, 117538]
AN202603241820729879	8	8	[552611, 480330, 490766, 377607, 27468, 288905, 238, 2217925]
AN202603251820733972	12	7	[566489, 692468, 18648, 547540, 553935, 178794, 52366]
AN202603251820734009	12	12	[422471, 299557, 11218, 733246, 566489, 692468, 18648, 547540, 553935, 178794, 52366, 2610240]
AN202603251820734043	20	15	[1580973, 219722, 630384, 576653, 1903, -1903, 57085, 158017, 2599, 2766, 84577, 107283, 3420059, 2357521, 1062538]
AN202603251820738669	5	4	[17254326, 16433829, 1689446, 1742451]
AN202603251820742309	6	6	[194785544, 108969950, 14493346, 597243097, -4245969, 911245968]
AN202603251820742325	4	4	[81462, 39087, 22227, 142776]
AN202603251820742422	6	6	[2165251, 1140570, 723884, 405432, 1061872, 5497009]
AN202603251820742424	6	4	[1685967, 952483, 1685967, 952483]
AN202603251820742839	2	2	[5382047, 5382047]
AN202603251820743760	6	6	[867937, 2618297, 1750360, 5928745, 3754136, 9682881]
AN202603251820745385	5	3	[3492386, 2123572, 113176]
