infocode	category	pipeline_stage	source_pages	message	local_rows	gt_rows
AN202603311820926238	empty_output	empty_output	34	主表抽取为空	0	5
AN202603311820926691	empty_output	empty_output	5	主表抽取为空	0	5
AN202603311820927264	empty_output	empty_output	174	主表抽取为空	0	3
AN202603311820927493	empty_output	empty_output	27	主表抽取为空	0	4
AN202603311820928144	empty_output	empty_output	14	主表抽取为空	0	9
AN202603311820929072	empty_output	empty_output	23	主表抽取为空	0	5
AN202603311820929351	empty_output	empty_output	25	主表抽取为空	0	3
AN202604011820950835	empty_output	empty_output	9	主表抽取为空	0	6
AN202604231821510940	empty_output	empty_output	275	主表抽取为空	0	6
AN202604231821519463	empty_output	empty_output	15	主表抽取为空	0	4
AN202604291821755916	empty_output	empty_output	13	主表抽取为空	0	4
AN202604301821873304	empty_output	empty_output	16|17|18|19|20|21|22|23|24|25|26|27|28|29	主表抽取为空	0	3
AN202605131822245606	empty_output	empty_output	18	主表抽取为空	0	8
AN202605271822914453	empty_output	empty_output	10	主表抽取为空	0	3
AN202606091823400567	empty_output	empty_output	20	主表抽取为空	0	4
AN202606171823643618	empty_output	empty_output	14	主表抽取为空	0	3
AN202408301639638999	matched_none_success	success	8	5 条	5	5
AN202412301641473695	matched_none_success	success	6	8 条	8	4
AN202501141641925005	matched_none_success	success	10|11|12|13|14|15|16|17	2 条	2	3
AN202502201643297822	matched_none_success	success	21|22	4 条	4	20
AN202502261643524112	matched_none_success	success	2	2 条	2	2
AN202502261643531215	matched_none_success	success	21	2 条	2	4
AN202502271643575865	matched_none_success	success	13	2 条	2	3
AN202503061644104613	matched_none_success	success	181	4 条	4	4
AN202503141644371785	matched_none_success	success	5	2 条	2	2
AN202503191644747183	matched_none_success	success	9	5 条	5	5
AN202503201645124051	matched_none_success	success	10	3 条	3	3
AN202503211645642281	matched_none_success	success	12	10 条	10	3
AN202503211645650057	matched_none_success	success	11|12	4 条	4	5
AN202503241646930284	matched_none_success	success	24	2 条	2	7
AN202503241646941001	matched_none_success	success	8|9|10|11	33 条	33	2
AN202503241646962383	matched_none_success	success	12	8 条	8	9
AN202503241646993382	matched_none_success	success	31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50	2 条	2	3
AN202503251647229111	matched_none_success	success	8	2 条	2	5
AN202503251647420697	matched_none_success	success	22|23|24	2 条	2	6
AN202503261647675945	matched_none_success	success	9|10|11	3 条	3	3
AN202503261647779711	matched_none_success	success	9|10|11|12|13|14|15|16|17|18|19|20|21|22	2 条	2	3
AN202503261647836687	matched_none_success	success	191	4 条	4	5
AN202503261647863408	matched_none_success	success	13|14|15	2 条	2	3
AN202503261647886202	matched_none_success	success	8|9	4 条	4	6
AN202503271648222008	matched_none_success	success	47|48|50|51|53	18 条	18	2
AN202503271648251149	matched_none_success	success	17|26|29	14 条	14	6
AN202503271648256400	matched_none_success	success	225	7 条	7	8
AN202503271648314750	matched_none_success	success	14	3 条	3	3
AN202503271648322410	matched_none_success	success	8|9	3 条	3	3
AN202503271648331759	matched_none_success	success	9	3 条	3	5
AN202503271648331824	matched_none_success	success	29|30|31	3 条	3	5
AN202503271648339142	matched_none_success	success	12	4 条	4	4
AN202503281648582649	matched_none_success	success	24|25|26	9 条	9	3
AN202503281648680965	matched_none_success	success	18|19|20	3 条	3	4
AN202503281648686212	matched_none_success	success	16|17|18|19|20	2 条	2	3
AN202503281648751744	matched_none_success	success	1|2	4 条	4	2
AN202503281648782534	matched_none_success	success	7|8|9|10|11|12	5 条	5	4
